id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
222,SBG0235SK,Durian,Durio carinatus,Pohon Muda,icon/young_tree.svg,-,13,6,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5534905,100.5473663,169.2514992,4.05,Belum,-,-,Taufik Hidayat,10/27/2021 7:29,"50,000.00",77.13,-,Chave et al. 2014.,media/1635312566023.jpg,media/1635312550076.jpg,media/1635312524866.jpg,media/1635312583673.jpg,adopsipohonriau/222
223,SBG0215SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,13,8,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533054,100.5474592,187.840587,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 6:24,"50,000.00",54.31,-,Chave et al. 2014.,media/1635308637921.jpg,media/1635308603539.jpg,media/1635308585403.jpg,media/1635308652253.jpg,adopsipohonriau/223
224,SBG0234SK,Jengkol,Pithecollobium lobatum,Pohon Muda,icon/young_tree.svg,-,11,6,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5534229,100.5474492,169.3567255,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 7:33,"50,000.00",85.69,-,Chave et al. 2014.,media/1635312770751.jpg,media/1635312749358.jpg,media/1635312715420.jpg,media/1635312785578.jpg,adopsipohonriau/224
225,SBG0216SK,Kepinis,Sloetia elongata,Pohon Muda,icon/young_tree.svg,-,13,9,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.553386,100.5475772,187.2537806,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 6:26,"50,000.00",60.93,-,Chave et al. 2014.,media/1635308767462.jpg,media/1635308748899.jpg,media/1635308730039.jpg,media/1635308784020.jpg,adopsipohonriau/225
226,SBG0236SK,Pulai,Alstonia scholaris,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,41,21,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5534007,100.5474986,169.9500154,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 7:35,"200,000.00","2,465.82",-,Chave et al. 2014.,media/1635312919532.jpg,media/1635312897311.jpg,media/1635312872992.jpg,media/1635312938620.jpg,adopsipohonriau/226
227,SBG0217SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,39,15,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.553386,100.5475772,187.2537806,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 6:28,"50,000.00","2,478.94",-,Chave et al. 2014.,media/1635308891261.jpg,media/1635308873384.jpg,media/1635308852003.jpg,media/1635308903969.jpg,adopsipohonriau/227
228,SBG0237SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,35,14,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533788,100.5474877,172.9556199,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 7:38,"50,000.00",648.18,-,Chave et al. 2014.,media/1635313129517.jpg,media/1635313070378.jpg,media/1635313041817.jpg,media/1635313109408.jpg,adopsipohonriau/228
229,SBG0218SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,36,16,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.553407,100.5475545,178.4926286,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 6:30,"50,000.00",780.15,-,Chave et al. 2014.,media/1635309030047.jpg,media/1635309012446.jpg,media/1635308989230.jpg,media/1635309045665.jpg,adopsipohonriau/229
230,SBG0219SK,Kepinis,Sloetia elongata,Pohon Muda,icon/young_tree.svg,-,19,11,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533263,100.5475558,177.7717784,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 6:33,"50,000.00",449.95,-,Chave et al. 2014.,media/1635309197374.jpg,media/1635309178933.jpg,media/1635309147222.jpg,media/1635309211217.jpg,adopsipohonriau/230
231,SBG0220SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,25,11,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5534018,100.5475107,171.968469,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 6:37,"50,000.00",519.43,-,Chave et al. 2014.,media/1635309437464.jpg,media/1635309421007.jpg,media/1635309390864.jpg,media/1635309468780.jpg,adopsipohonriau/231
232,SBG0233SK,Pulai,Alstonia scholaris,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,41,18,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533317,100.5475133,179.2663107,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 6:41,"200,000.00","2,206.21",-,Chave et al. 2014.,media/1635309687705.jpg,media/1635309659096.jpg,media/1635309632459.jpg,media/1635309702695.jpg,adopsipohonriau/232
233,SBG0232SK,Karet,Hevea brasilliensis,Pohon Muda,icon/young_tree.svg,-,13,10,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5532547,100.5475397,179.7222774,4.02,Belum,-,-,Taufik Hidayat,10/27/2021 6:45,"50,000.00",132.06,-,Chave et al. 2014.,media/1635309935527.jpg,media/1635309891264.jpg,media/1635309865291.jpg,media/1635309948706.jpg,adopsipohonriau/233
234,SBG0241SK,Mahang,Macaranga aleuritoides,Pohon Dewasa,icon/mature_tree.svg,Least Concern,43,15,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533637,100.5475588,185.3650745,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 8:02,"200,000.00","1,036.21",-,Chave et al. 2014.,media/1635314479399.jpg,media/1635314439970.jpg,media/1635314403176.jpg,media/1635314512973.jpg,adopsipohonriau/234
235,SBG0242SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,27,13,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533759,100.547607,184.7640001,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 8:05,"50,000.00",363.32,-,Chave et al. 2014.,media/1635314663528.jpg,media/1635314639988.jpg,media/1635314608633.jpg,media/1635314705415.jpg,adopsipohonriau/235
236,SBG0243SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,10,6,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5532764,100.5477204,177.9951315,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 8:08,"50,000.00",71.14,-,Chave et al. 2014.,media/1635314862825.jpg,media/1635314831630.jpg,media/1635314799770.jpg,media/1635314879493.jpg,adopsipohonriau/236
237,SBG0245SK,Kepinis,Sloetia elongata,Pohon Muda,icon/young_tree.svg,-,14,11,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5532887,100.5475987,178.4328466,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 8:11,"50,000.00",169.96,-,Chave et al. 2014.,media/1635315048902.jpg,media/1635315013630.jpg,media/1635314968449.jpg,media/1635315064381.jpg,adopsipohonriau/237
238,SBG0231SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,27,12,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5532866,100.547513,160.0430115,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 6:57,"50,000.00",543.19,-,Chave et al. 2014.,media/1635310563983.jpg,media/1635310536038.jpg,media/1635310497314.jpg,media/1635310633579.jpg,adopsipohonriau/238
239,SBG0246SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,11,6,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5534515,100.5476764,179.8662011,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 8:16,"50,000.00",85.69,-,Chave et al. 2014.,media/1635315366945.jpg,media/1635315346271.jpg,media/1635315318967.jpg,media/1635315384105.jpg,adopsipohonriau/239
240,SBG0247SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,18,8,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533731,100.5477488,179.2482307,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 8:20,"50,000.00",296.72,-,Chave et al. 2014.,media/1635315582741.jpg,media/1635315514774.jpg,media/1635315485006.jpg,media/1635315605212.jpg,adopsipohonriau/240
241,SBG0227SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,20,21,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533807,100.5473372,158.3997628,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 7:00,"50,000.00",322.96,-,Chave et al. 2014.,media/1635310803927.jpg,media/1635310770821.jpg,media/1635310736966.jpg,media/1635310827847.jpg,adopsipohonriau/241
242,SBG0248SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,15,7,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5534679,100.5476029,188.0170925,4.05,Belum,-,-,Taufik Hidayat,10/27/2021 8:22,"50,000.00",149.51,-,Chave et al. 2014.,media/1635315734292.jpg,media/1635315713619.jpg,media/1635315684944.jpg,media/1635315749849.jpg,adopsipohonriau/242
243,SBG0228SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,21,16,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5532636,100.5474446,159.8168891,4.02,Belum,-,-,Taufik Hidayat,10/27/2021 7:04,"50,000.00",450.22,-,Chave et al. 2014.,media/1635311009040.jpg,media/1635310964667.jpg,media/1635310932846.jpg,media/1635311030135.jpg,adopsipohonriau/243
244,SBG0249SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,13,6,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533636,100.547697,178.1151478,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 8:25,"50,000.00",118.72,-,Chave et al. 2014.,media/1635315887069.jpg,media/1635315853458.jpg,media/1635315822410.jpg,media/1635315904625.jpg,adopsipohonriau/244
245,SBG0226SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,18,10,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5531838,100.5475164,162.8759418,4.01,Belum,-,-,Taufik Hidayat,10/27/2021 7:06,"50,000.00",152.35,-,Chave et al. 2014.,media/1635311169346.jpg,media/1635311151594.jpg,media/1635311112869.jpg,media/1635311182616.jpg,adopsipohonriau/245
246,SBG0252SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,17,11,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.553322,100.5477689,187.7680981,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 8:28,"50,000.00",213.04,-,Chave et al. 2014.,media/1635316067252.jpg,media/1635316030659.jpg,media/1635316000962.jpg,media/1635316082337.jpg,adopsipohonriau/246
247,SBG0251SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,11,8,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533284,100.5477557,182.0977806,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 8:31,"50,000.00",113.46,-,Chave et al. 2014.,media/1635316289681.jpg,media/1635316202819.jpg,media/1635316159140.jpg,media/1635316253621.jpg,adopsipohonriau/247
248,SBG0253SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,18,14,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533174,100.5476136,181.1183861,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 8:34,"50,000.00",177,-,Chave et al. 2014.,media/1635316432040.jpg,media/1635316408583.jpg,media/1635316375491.jpg,media/1635316451951.jpg,adopsipohonriau/248
249,SBG0250SK,Ludai,Triadica cochinchinensis,Pohon Muda,icon/young_tree.svg,-,16,12,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533983,100.54772,180.9878564,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 8:37,"50,000.00",121,-,Chave et al. 2014.,media/1635316598885.jpg,media/1635316577635.jpg,media/1635316548678.jpg,media/1635316618013.jpg,adopsipohonriau/249
250,SBG0254SK,Ludai,Triadica cochinchinensis,Pohon Dewasa,icon/mature_tree.svg,-,60,21,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533127,100.5477578,174.4139994,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 8:40,"200,000.00","7,981.40",-,Chave et al. 2014.,media/1635316805173.jpg,media/1635316774645.jpg,media/1635316743580.jpg,media/1635316837076.jpg,adopsipohonriau/250
251,SBG0255SK,Ludai,Triadica cochinchinensis,Pohon Muda,icon/young_tree.svg,-,33,18,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533845,100.5477529,177.6223585,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 8:43,"50,000.00","2,137.60",-,Chave et al. 2014.,media/1635316980579.jpg,media/1635316951739.jpg,media/1635316926626.jpg,media/1635316998832.jpg,adopsipohonriau/251
252,SBG0256SK,Ludai,Triadica cochinchinensis,Pohon Dewasa,icon/mature_tree.svg,-,43,21,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533529,100.5477803,177.6625465,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 8:47,"200,000.00","4,165.42",-,Chave et al. 2014.,media/1635317201433.jpg,media/1635317174421.jpg,media/1635317147283.jpg,media/1635317226126.jpg,adopsipohonriau/252
253,SBG0257SK,Ludai,Triadica cochinchinensis,Pohon Dewasa,icon/mature_tree.svg,-,45,22,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5532414,100.5476905,180.988616,4.02,Belum,-,-,Taufik Hidayat,10/27/2021 8:49,"200,000.00","4,763.40",-,Chave et al. 2014.,media/1635317365380.jpg,media/1635317337487.jpg,media/1635317312343.jpg,media/1635317385683.jpg,adopsipohonriau/253
254,SBG0258SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,38,18,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533516,100.5478012,182.6560871,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 8:53,"50,000.00","1,162.64",-,Chave et al. 2014.,media/1635317543606.jpg,media/1635317517875.jpg,media/1635317487933.jpg,media/1635317577986.jpg,adopsipohonriau/254
255,SBG0259SK,Ludai,Triadica cochinchinensis,Pohon Dewasa,icon/mature_tree.svg,-,46,21,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533814,100.5477886,178.9015181,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 8:56,"200,000.00","4,751.51",-,Chave et al. 2014.,media/1635317746742.jpg,media/1635317701933.jpg,media/1635317673644.jpg,media/1635317764972.jpg,adopsipohonriau/255
256,SBG0260SK,Ludai,Triadica cochinchinensis,Pohon Dewasa,icon/mature_tree.svg,-,41,22,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533672,100.5478481,181.4983594,4.04,Belum,-,-,Taufik Hidayat,10/27/2021 8:59,"200,000.00","2,402.00",-,Chave et al. 2014.,media/1635317915857.jpg,media/1635317890521.jpg,media/1635317860125.jpg,media/1635317930435.jpg,adopsipohonriau/256
